r0,r1,r2,r3,lower_bound,best_weight,optimal,seconds
16,19,28,9,12,12,1,63.76
26,8,23,19,12,12,1,69.7
24,11,12,31,12,12,1,55.72
26,21,12,13,12,12,1,55.77
10,15,20,11,12,12,1,53.34
18,17,6,1,12,12,1,70.16
5,9,22,8,12,12,1,68.36
19,5,30,4,12,12,1,68.7
27,9,14,7,12,12,1,66.22
1,24,18,25,12,12,1,61.2
13,17,29,16,12,12,1,66.41
3,13,20,29,12,12,1,64.75
17,26,19,19,12,12,1,61.19
14,2,12,28,12,12,1,63.77
15,1,7,31,10,11,0,24.06
10,23,23,21,12,12,1,64.04
6,25,14,31,10,11,0,22.49
24,20,2,26,12,12,1,82.3
4,18,22,9,12,12,1,58.08
23,4,7,9,12,12,1,66.5
3,21,19,17,12,12,1,57.45
21,3,28,3,12,12,1,66.6
26,28,7,21,12,12,1,69.17
27,6,17,28,12,12,1,65.86
1,18,4,27,12,12,1,64.17
10,17,29,24,12,12,1,60.37
11,25,18,21,12,12,1,67.09
19,18,10,17,12,12,1,62.78
14,18,31,27,7,9,0,4.1
30,31,17,14,12,12,1,68.5
20,21,19,10,12,12,1,61.9
15,10,5,17,12,12,1,65.51
14,1,19,12,12,12,1,58.5
29,28,16,23,12,12,1,60.02
26,10,8,29,12,12,1,67.28
7,20,16,28,12,12,1,67.42
29,29,8,14,12,12,1,66.35
15,22,12,18,12,12,1,62.04
30,31,7,26,12,12,1,57.93
16,24,3,27,12,12,1,63.31
15,9,26,26,12,12,1,65.57
12,21,24,28,12,12,1,63.12
16,25,11,13,12,12,1,54.92
15,26,4,16,12,12,1,69.21
12,5,14,5,12,12,1,68.73
1,6,27,9,12,12,1,59.43
12,28,5,19,12,12,1,68.14
26,10,31,14,12,12,1,66.89
24,4,9,22,12,12,1,57.09
9,6,16,26,10,11,0,30.8
26,23,28,2,12,12,1,71.21
26,7,22,21,12,12,1,56.08
3,28,13,4,10,11,0,27.38
22,15,10,22,10,10,1,19.01
17,16,29,13,12,12,1,56.67
4,20,28,16,10,10,1,27.02
9,31,17,10,12,12,1,57.65
24,14,23,9,12,12,1,69.47
14,11,25,30,12,12,1,63.09
16,7,23,27,12,12,1,53.17
16,31,13,23,12,12,1,66.19
14,3,3,5,12,12,1,64.53
7,31,5,8,12,12,1,65.41
24,1,4,9,12,12,1,60.56
25,24,22,12,12,12,1,66.07
30,29,31,23,12,12,1,63.09
9,2,18,21,12,12,1,63.86
15,10,25,29,12,12,1,59.41
27,4,8,17,10,11,0,24.34
9,9,23,8,7,9,0,5.94
14,5,5,9,12,12,1,82.66
7,14,18,21,10,11,0,18.15
20,29,31,2,12,12,1,77.17
18,27,20,17,12,12,1,63.57
5,31,14,9,12,12,1,63.12
9,16,23,10,10,10,1,22.77
9,16,7,16,10,10,1,21.31
12,20,16,8,7,9,0,4.74
11,6,20,25,12,12,1,55.93
