r0,r1,r2,r3,rounds,trials,mean_flip,max_dev,zero_pairs
8,26,2,30,1,4000,0.28678,0.50000,33211
17,24,7,23,1,4000,0.33353,0.50000,15570
17,23,20,21,1,4000,0.37375,0.50000,6321
18,3,8,13,1,4000,0.36611,0.50000,9309
25,15,4,19,1,4000,0.37656,0.50000,4396
21,2,13,3,1,4000,0.34829,0.50000,11439
31,9,8,7,1,4000,0.33103,0.50000,6966
3,26,19,18,1,4000,0.34226,0.50000,18940
20,7,18,14,1,4000,0.35287,0.50000,13807
23,28,8,19,1,4000,0.34475,0.50000,18054
5,18,15,13,1,4000,0.34760,0.50000,10366
23,7,3,21,1,4000,0.33643,0.50000,13630
30,3,5,26,1,4000,0.26723,0.50000,23690
23,5,12,16,1,4000,0.36448,0.50000,12807
18,10,3,17,1,4000,0.36230,0.50000,8025
27,10,7,23,1,4000,0.37075,0.50000,6282
15,1,10,26,1,4000,0.31893,0.50000,8273
26,20,19,4,1,4000,0.37201,0.50000,4785
9,20,2,2,1,4000,0.33672,0.50000,15404
21,27,4,4,1,4000,0.31924,0.50000,20559
28,14,21,19,1,4000,0.36539,0.50000,5514
17,13,4,30,1,4000,0.32309,0.50000,6985
29,23,7,27,1,4000,0.33424,0.50000,19020
31,13,22,30,1,4000,0.33722,0.50000,5423
22,2,1,24,1,4000,0.28166,0.50000,25681
13,13,14,22,1,4000,0.33374,0.50000,9025
5,19,20,5,1,4000,0.37079,0.50000,8160
22,18,18,3,1,4000,0.36151,0.50000,6301
30,8,28,13,1,4000,0.31312,0.50000,14141
24,13,12,24,1,4000,0.37036,0.50000,6993
27,6,8,10,1,4000,0.33879,0.50000,12047
5,28,30,31,1,4000,0.24995,0.50000,44483
10,16,2,19,1,4000,0.34422,0.50000,6910
17,3,28,27,1,4000,0.31683,0.50000,20385
26,17,27,19,1,4000,0.36515,0.50000,2837
29,12,16,31,1,4000,0.35313,0.50000,8289
